LARGE TITLE,METRIC DESCRIPTION,Additional notes e.g. units,,,,,,,,,,,,,,,,,DATA SOURCE,,,
,,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region/ Country,Name,URL,NOTE,
Team member - government,,,Rafael Climent,"Regional Minister for EconomyRafael Climent was born in Muro (Valencia) in 1960, graduated in classical philology at the University of Valencia. He was a teacher of greek language at Jose Segrelles college.He was the major of Muro during sixten years.Currently he is the Regional Minister for Economy, Industry, Comerce and Employment at the Valencian Government as well as Merber of Parliament (MPs) for the Valencian Goverment.",,,,,,,,,,,,,,,,,,
Team member - champion,,,,,Rafael Climent (but he's already been added in govt section),,,,,,,,,,,,,,,,,
Team member,,,Roberto Parras,,,,,,,,,,,,,,,,,,,
Team member,,,Juan Vicente Climent,,,,,,,,,,,,,,,,,,,
Team member,,,Javier Minguez,,,,,,,,,,,,,,,,,,,
Team member,,,Israel Griol,,,,,,,,,,,,,,,,,,,
Team member,,,Alicia Martinez,Description,,,,,,,,,,,,,,,,,,
Team member,,,Alicia Martinez,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Legend,,,,,,,,,,,,,,,,,,,,,,
1,To be completed by REAP team (mostly publicly available data),,,,,,,,,,,,,,,,,,,,,
3,May not be public,,,,,,,,,,,,,,,,,,,,,
*,Public data,,,,,,,,,,,,,,,,,,,,,
To be completed at workshop 3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,
This data will be displayed on the REAP website on your regional dashboard. ,,,,,,,,,,,,,,,,,,,,,,
"In column U, please indicate whether the data refers to the region or the country",,,,,,,,,,,,,,,,,,,,,,
Please fil in the missing data to the best of your ability with region-specifc data (not country data) - save as a separate file and save in dropbox folder,,,,,,,,,,,,,,,,,,,,,,
Please provide data for as many years as possible,,,,,,,,,,,,,,,,,,,,,,
REAP Index to be calculated by MIT team (data to be collected is outlined in the following tab- REAP Index) ,,,,,,,,,,,,,,,,,,,,,,
Please include a data source in columns V and W,,,,,,,,,,,,,,,,,,,,,,
Please add custom metrics that you would like to display on the dashboard to rows 20+,,,,,,,,,,,,,,,,,,,,,,
Please note that the 2nd section below the red line requires subjective information that should be produced by the REAP team,,,,,,,,,,,,,,,,,,,,,,
Rename this spreadsheet as your region name,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
